Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,tot,inc,place,counts-/accounts/,counts-get-/accounts/current,counts-/notifications/recipients/current,counts-put-/accounts/current,counts-/statistics/current
,Aggregated,3310,2584,770.0,871.0054638368515,9.935600000972045,3035.222700000304,130.78398791540786,85.87615959352321,67.04048229294985,770,1100,1300,1400,1700,1800,2000,2400,2700,3000,3000,320,13,1,1417,212,93,99,72
,Aggregated,128074,18,2800.0,3731.848550116329,8.868799999618204,180877.3328999996,112.3482674079048,181.5933587995113,0.025521811284032695,2800,4200,5300,6000,8900,11000,12000,14000,89000,170000,181000,2560,7,1,2569,28252,34461,34463,25860
,Aggregated,5181,2390,390.0,1083.6819236054807,7.586400000946014,16532.851399999345,119.21366531557614,41.69993101192566,19.23621600434324,390,980,1300,1500,2300,4000,9600,10000,16000,17000,17000,426,15,1,1344,637,690,660,506
,Aggregated,32920,0,64,133.9350566798275,8.452499998384155,2705.444900002476,86.92396719319562,96.35251223236307,0.0,64,98,130,160,290,530,790,1100,2700,2700,2700,905,4,1,905,5520,15357,4681,5552
,Aggregated,22514,2116,990.0,1692.0151080394526,12.304900003073271,42892.230599998584,99.37661010926534,139.33955977923003,13.095962889439935,990,2000,2500,2800,3300,3900,4500,8000,39000,43000,43000,1810,14,1,2525,3854,2903,8266,2453
,Aggregated,72685,1983,3600.0,5400.07515976753,9.595399998943321,328090.01089999947,87.45441287748504,141.65713685195124,3.8647052676263236,3600,5600,7200,8100,10000,12000,14000,15000,248000,328000,328000,3620,13,1,2969,11737,12048,32963,10013
,Aggregated,31924,0,1200.0,1760.6861342124978,10.132300001714611,52304.59289999999,221.89688009021427,129.9980299330136,0.0,1200,2000,3300,3500,3800,4100,4600,5700,44000,51000,52000,1810,9,1,1603,15064,3550,6613,3507
,Aggregated,3964,0,63,94.43695948534958,11.205700000573415,624.0722000002279,183.21897073662967,54.73821300883317,0.0,63,95,120,140,200,260,370,460,620,620,620,452,7,1,452,1772,317,631,340
,Aggregated,6890,0,58,79.32914387519963,9.705700002086814,1139.4842999980028,192.5497822931785,73.09399074955935,0.0,58,79,100,110,160,210,250,290,440,1100,1100,640,7,1,640,3129,614,1219,648 
,Aggregated,95060,3586,3500.0,5607.893695259834,14.02589999997872,404523.5811999992,110.0621607405849,170.23384875802972,6.421823918012777,3500,4600,6000,6700,8500,9700,12000,43000,329000,399000,405000,3620,18,1,4080,19897, 23697,23140, 20197
,Aggregated,5648,58,49,235.47179665367003,8.752500001719454,5089.788999997836,107.83976628895184,47.42531838685896,0.4870163715364412,49,75,110,140,420,980,3300,3900,4600,5100,5100,320,9,1,349, 1247,1296, 1300,1107
,Aggregated,7325,0,51,68.04540305802819,10.680999999749474,551.4196000003722,288.00505119453925,49.11881664031648,0.0,51,67,81,92,130,180,240,270,500,550,550,320,9,1,320,4758,264,1128,534
,Aggregated,26191,2177,1400.0,2082.5363152495165,20.21459999741637,54638.95870000124,243.2972776908098,155.77366234383769,12.947931080238808,1400,1900,2100,2400,3100,4500,13000,24000,51000,55000,55000,1810,18,1,2731,14958, 833,3311, 1650
,Aggregated,13927,4354,320.0,1547.1446785237038,10.103000000526663,11316.19259999934,215.37739642421195,105.67307774483089,33.03658939477229,320,840,1800,2700,5900,7200,9100,9600,11000,11000,11000,905,17,1,2801,5996,330,1316,683
,Aggregated,97519,141,940.0,1960.2663037838956,8.785799996985588,72777.18820000155,163.14175699094537,164.6907600265331,0.23812177282110322,940,2500,3200,3600,4800,5700,6700,7400,55000,71000,73000,2560,5,1, 2355,35122,32969,8383,16342
,Aggregated,17911,4,94,161.07365386075458,9.588899996742839,3273.7607000017306,141.83122103735136,96.25086298602112,0.02149536329317651,94,130,160,190,310,540,950,1400,2000,3300,3300,1280, 6,1,1076,7289, 1519,823,6134
,Aggregated,4147,2752,750.0,1804.0795804678023,11.290800001006573,27133.666599998833,133.15071135760792,41.69218464973415,27.66744445528536,750,1400,2000,2300,5300,7800,12000,13000,20000,27000,27000,452,14,1,1466,574,140,61, 440
,Aggregated,112395,72,4700.0,6516.1623029876555,13.243899993540253,563988.0460999993,177.54501534765782,135.13662265685844,0.08656823552020826,4700,6600,7800,8600,10000,12000,13000,14000,431000,551000,564000,4060,9,1,2134,46782,11253,5532,44572
,Aggregated,3991,998,120.0,269.07539561513596,10.712099996453617,1635.4640999998082,174.569030318216,64.87606389618222,16.223079871809034,120,270,390,480,750,930,1300,1400,1600,1600,1600,320,15,1,798,2130,103,53,109
,Aggregated,40365,0,2200.0,2718.648208715498,12.029299999994691,90098.87560000061,242.58342623560014,127.55695417013047,0.0,2200,3600,4100,4200,5000,5400,5700,9200,78000,89000,90000,1612,9,1,32274,1946,1028,189
,Aggregated,8233,1386,70,276.0535876958716,11.045999999623746,2725.8761999983108,82.65589699987854,82.12829155748955,13.826043009678187,70,240,360,470,730,1100,1700,2100,2600,2700,2700,508,15,1,1166,1128, 1362,653,2758
,Aggregated,13656,1814,550.0,838.0951796133767,13.415300003543962,6726.158699995722,86.54628002343293,127.50943382869377,16.937764569804518,560,800,1000,1100,1500,3000,4600,5400,6300,6700,6700,1016,16,1,1923,2108, 2164,1134,4404
,Aggregated,13690,0,45,56.38792245432583,9.830800001509488,578.803100004734,68.24149013878744,73.68581070827436,0.0,45,55,64,72,100,130,210,240,310,570,580,640,5,1,640,2078,2985,1478,5872
,Aggregated,17146,1338,940.0,1301.34611794585,16.581900003075134,26776.800899999216,82.56432987285665,125.07401579301461,9.760237555759568,940,1600,1900,2100,2500,2700,3000,8600,25000,27000,27000,1280,13,1,1941,2768,3006,1465, 6033
,Aggregated,19435,457,620.0,825.7363560740779,16.209300003538374,11534.182399998826,42.36084383843581,124.75083800918856,2.933425931062473,620,930,1200,1400,1900,2400,2900,3200,9400,11000,12000,1280,13,1,1493,1350,602,4672,9821
,Aggregated,20062,0,92,191.19584099789913,11.543199994775932,4637.724200001685,31.106968397966305,116.50214615484136,0.0,92,130,160,190,300,1000,1600,1800,2300,4600,4600,1016,9,1,1016,1102,699,5466,10763
,Aggregated,5064,0,43,60.86459559631439,10.664800000085961,633.9376000032644,41.57326224328594,49.32967062702614,0.0,43,55,67,78,130,170,210,250,610,630,630,350,7,1,350,375,162,1271,2556
,Aggregated,35739,9,270.0,643.0055293181224,11.547399997652974,11584.330400000908,23.206832871652818,121.43145041211373,0.030579564445256543,270,680,880,1000,1400,2600,3900,4400,9000,11000,12000,1280,6,1,1280,1429,1271,10152,20318
,Aggregated,6613,0,28,41.88160573111572,7.578999997349456,1176.4632999984315,105.97111749584153,38.75394168766505,0.0,28,38,47,54,83,120,150,190,350,1200,1200,253,7,1,253,2979,3128,0,0
,Aggregated,10337,2946,210.0,325.0033341491379,10.503999998036306,3097.6709999958985,128.23836703105349,126.14480711187483,35.95072088145334,210,330,440,530,790,970,1300,1600,2900,3100,3100,806,12,1,2278,3283,2498,0,0
,Aggregated,1358,0,24,46.12959329907709,8.333600002515595,408.68780000164406,115.4639175257732,17.671849174212216,0.0,24,31,44,61,120,180,230,250,310,410,410,100,8,1,100,620, 538,0
,Aggregated,3709,0,22,34.20721331897049,8.880800000042655,272.98800000426127,108.12348341871125,25.297720530953267,0.0,22,27,35,44,78,110,130,140,190,270,270,160,6,1,1762,1627,0,0
,Aggregated,146216,2102,4000.0,5629.7646567742595,8.654800003569108,518381.61760000366,102.88545713191442,184.660696963877,2.654680643828784,4000,5600,6700,7500,9900,12000,13000,14000,336000,499000,518000,3225,11,1,3704,70804,68016,0,0
,Aggregated,5215,934,58,190.1919587152024,12.422400002833456,1879.0740000040387,109.08590604026845,58.1108771062378,10.407585660062532,58,150,260,330,560,730,920,1100,1900,1900,1900,320,10,1,787,885,302,2361,93
,Aggregated,6404,1320,71,329.13208906930083,11.567800000193529,3729.9939000004088,113.36976889444098,74.05883788152481,15.265094628921418,71,250,420,540,860,1200,2500,3000,3700,3700,3700, 404, 16,1,1050,1094, 339,2784,87


























