Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,tot,inc,place,counts-/accounts/,counts-get-/accounts/current,counts-/notifications/recipients/current,counts-put-/accounts/current,counts-/statistics/current
,Aggregated,115,0,31,47.81659043472483,12.183700004243292,358.650399997714,147.9304347826087,1.574048245463006,0.0,31,45,69,71,84,94,150,200,360,360,360,10,1,1,10,38,16,23,18
,Aggregated,670,0,48,91.01619686561709,12.154399999417365,686.9520999898668,119.55373134328359,20.63744383145043,0.0,48,86,100,120,180,340,540,670,690,690,690,100,8,1,100,173,70,87,140
,Aggregated,37051,4374,1500.0,2352.0681186823795,27.027000003727153,59374.93640001048,114.41421284175865,179.8327970197224,21.229889993907474,1500,2000,2400,3000,4400,5700,8500,24000,52000,59000,59000,100,8,1,4027,7410,5374,10807,5386
,Aggregated,2671,0,27,44.19587397986066,9.41039998724591,661.6295999992872,107.43654062149008,16.190252956941396,0.0,27,34,48,61,91,120,150,250,490,660,660,100,6,1,100,571,524,905,471
,Aggregated,11394,1478,910.0,1175.8682941899635,20.87020000180928,15176.064300001599,160.92934878005968,131.35173992386706,17.0386055474351,910,1200,1300,1500,1900,2700,5400,8300,14000,15000,15000,1201,19,1,1918,3352,0,4219,0
,Aggregated,17203,2236,360.0,519.7791743649146,15.150000006542541,4903.552099996887,161.42934371911875,130.3467706339276,16.942125160580254,360,570,740,880,1200,1400,1600,1700,3800,4900,4900,1147,11,1,2265,4984,0,7689,0
,Aggregated,22979,2027,54,297.10752519255516,13.727100005780812,6288.890700001502,170.187475521128,80.90975791916912,7.137128652341522,54,68,87,140,650,2000,3200,4300,5400,5800,6300,640,18,1,1498,7035,0,12948,0
,Aggregated,11077,1744,77,278.2880493274361,14.264299999922514,2743.6970000053407,160.00063194005597,104.41553378561174,16.439531544832253,77,240,380,460,780,1100,1500,1800,2500,2700,2700,640,16,1,1498,3090,0,4997,0
,Aggregated,15202,1928,65,225.01404463884333,16.199599995161407,2769.4847000020673,162.1308380476253,100.87893899264407,12.794013575701735,65,120,240,320,620,990,1500,1900,2600,2700,2800, 640,14,1,1592,433,0,7665,0
,Aggregated,12610,1560,75,169.12501600314587,12.651600001845509,2531.975700003386,164.6498017446471,97.99228662609455,12.122757108382832,75,130,190,250,390,600,830,1300,2400,2500,2500, 640,12,1,1406,3704,0,6094,0
