Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/accounts/,393,37,1200.0,1324.8321944019206,104.7681999989436,4235.457900002075,197.0966921119593,9.211311325526164,0.8672226947696389,1200,1800,2100,2200,2800,3100,3700,4000,4200,4200,4200
GET,/accounts/current,544,0,440.0,547.2902503673889,34.328600006119814,1502.067800000077,229.21875,12.75051745823469,0.0,440,670,770,860,1200,1300,1400,1400,1500,1500,1500
PUT,/accounts/current,223,0,700.0,772.6067816142023,63.97659999493044,1934.3404000028386,0.0,5.2267746198278235,0.0,700,900,1000,1100,1300,1400,1500,1600,1900,1900,1900
GET,/notifications/recipients/current,228,0,630.0,700.9529758769005,42.95830000046408,1525.1470999937737,0.0,5.343966875877775,0.0,630,840,970,1000,1300,1400,1500,1500,1500,1500,1500
GET,/statistics/current,235,0,700.0,743.1711221278207,42.31150000123307,1921.9154000020353,2.0,5.508036034347707,0.0,700,840,1000,1100,1400,1400,1500,1600,1900,1900,1900
POST,/uaa/oauth/token,384,36,450.0,542.0253276040512,116.26409999735188,3108.105899998918,154.53125,9.000365264636251,0.8437842435596487,450,590,650,720,890,1400,1700,2400,3100,3100,3100
,Aggregated,2007,73,600.0,763.9643641752409,34.328600006119814,4235.457900002075,130.52516193323368,47.04097157845041,1.7110069383292874,600,790,970,1200,1500,2100,2800,3100,4000,4200,4200
